----------------------------------------------
KANJI GRADE 1 
----------------------------------------------
一|one|イチ,イツ,ひと,ひと-つ
右|right (direction)|ウ,ユウ,みぎ
雨|rain|ウ,あめ,（あま）
円|round,yen|エン,まる-い
王|king|オウ
音|sound|オン,イン,おと,ね
下|below|カ,ゲ,した,しも,もと,さ-げる,さ-がる,くだ-る,くだ-す,くだ-さる,お-ろす,お-りる
火|fire|カ,ひ,（ほ）
花|flower|カ,はな
貝|shellfish|かい
学|study|ガク,まな-ぶ
気|feeling|キ,ケ
九|nine|キュウ,ク,ここの,ここの-つ
休|rest|キュウ,やす-む,やす-まる,やす-める
玉|ball|ギョク,たま
金|gold|キン,コン,かね,（かな）
空|sky|クウ,そら,あ-く,あ-ける,から
月|month,moon|ゲツ,ガツ,つき
犬|dog|ケン,いぬ
見|see|ケン,み-る,み-える,み-せる
五|five|ゴ,いつ,いつ-つ
口|mouth|コウ,ク,くち
校|school|コウ
左|left (direction)|サ,ひだり
三|three|サン,み,み-つ,みっ-つ
山|mountain|サン,やま
子|child|シ,ス,こ
四|four|シ,よ,よ-つ,よっ-つ,よん
糸|thread|シ,いと
字|letter|ジ,あざ
耳|ear|ジ,みみ
七|seven|シチ,なな,なな-つ,（なの）
車|car|シャ,くるま
手|hand|シュ,て,（た）
十|ten|ジュウ,ジッ,とお,と
出|exit|シュツ,（スイ）,で-る,だ-す
女|woman|ジョ,ニョ,（ニョウ）,おんな,め
小|small|ショウ,ちい-さい,こ,お
上|up|ジョウ,（ショウ）,うえ,（うわ）,かみ,あ-げる,あ-がる,のぼ-る,のぼ-せる,のぼ-す
森|forest|シン,もり
人|person|ジン,ニン,ひと
水|water|スイ,みず
正|correct|セイ,ショウ,ただ-しい,ただ-す,まさ
生|life|セイ,ショウ,い-きる,い-かす,い-ける,う-まれる,う-む,お-う,は-える,は-やす,き,なま
青|blue|セイ,（ショウ）,あお,あお-い
夕|evening|セキ,ゆう
石|stone|セキ,（シャク）,（コク）,いし
赤|red|セキ,（シャク）,あか,あか-い,あか-らむ,あか-らめる
千|thousand|セン,ち
川|river|セン,かわ
先|previous|セン,さき
早|early|ソウ,（サッ）,はや-い,はや-まる,はや-める
草|grass|ソウ,くさ
足|foot|ソク,あし,た-りる,た-る,た-す
村|village|ソン,むら
大|large|ダイ,タイ,おお,おお-きい,おお-いに
男|male|ダン,ナン,おとこ
竹|bamboo|チク,たけ
中|middle|チュウ,（ジュウ）,なか
虫|insect|チュウ,むし
町|town|チョウ,まち
天|heaven|テン,あめ,（あま）
田|rice paddy|デン,た
土|soil|ド,ト,つち
二|two|ニ,ふた,ふた-つ
日|day|ニチ,ジツ,ひ,か
入|enter|ニュウ,い-る,い-れる,はい-る
年|year|ネン,とし
白|white|ハク,ビャク,しろ,（しら）,しろ-い
八|eight|ハチ,や,や-つ,やっ-つ,（よう）
百|hundred|ヒャク
文|writing|ブン,モン,ふみ
木|tree|ボク,モク,き,（こ）
本|book|ホン,もと
名|name|メイ,ミョウ,な
目|eye|モク,（ボク）,め,（ま）
立|stand up|リツ,（リュウ）,た-つ,た-てる
力|power|リョク,リキ,ちから
林|woods|リン,はやし
六|six|ロク,む,む-つ,むっ-つ,（むい）
----------------------------------------------
KANJI GRADE 2
----------------------------------------------
引|pull|イン,ひ-く,ひ-ける
羽|feather|ウ,は,はね
雲|cloud|ウン,くも
園|garden|エン,その
遠|far|エン,（オン）,とお-い
何|what|カ,なに,（なん）
科|section|カ
夏|summer|カ,（ゲ）,なつ
家|house|カ,ケ,いえ,や
歌|song|カ,うた,うた-う
画|tableau|ガ,カク
回|times|カイ,（エ）,まわ-る,まわ-す
会|association|カイ,エ,あ-う
海|sea|カイ,うみ
絵|picture|カイ,エ
外|outside|ガイ,ゲ,そと,ほか,はず-す,はず-れる
角|angle|カク,かど,つの
楽|pleasure|ガク,ラク,たの-しい,たの-しむ
活|active|カツ
間|interval|カン,ケン,あいだ,ま
丸|circle|ガン,まる,まる-い,まる-める
岩|boulder|ガン,いわ
顔|face|ガン,かお
汽|steam|キ
記|write down|キ,しる-す
帰|return|キ,かえ-る,かえ-す
弓|bow (archery,violin)|キュウ,ゆみ
牛|cow|ギュウ,うし
魚|fish|ギョ,うお,さかな
京|capital|キョウ,ケイ
強|strong|キョウ,ゴウ,つよ-い,つよ-まる,つよ-める,し-いる
教|teach|キョウ,おし-える,おそ-わる
近|near|キン,ちか-い
兄|older brother|ケイ,（キョウ）,あに
形|shape|ケイ,ギョウ,かた,かたち
計|measure|ケイ,はか-る,はか-らう
元|origin|ゲン,ガン,もと
言|say|ゲン,ゴン,い-う,こと
原|field|ゲン,はら
戸|door|コ,と
古|old|コ,ふる-い,ふる-す
午|noon|ゴ
後|behind|ゴ,コウ,のち,うし-ろ,あと,おく-れる
語|language|ゴ,かた-る,かた-らう
工|craft|コウ,ク
公|public|コウ,おおやけ
広|wide|コウ,ひろ-い,ひろ-まる,ひろ-める,ひろ-がる,ひろ-げる
交|mix|コウ,まじ-わる,まじ-える,ま-じる,ま-ざる,ま-ぜる,か-う,か-わす
光|ray|コウ,ひか-る,ひかり
考|think|コウ,かんが-える
行|go|コウ,ギョウ,（アン）,い-く,ゆ-く,おこな-う
高|tall,expensive|コウ,たか-い,たか,たか-まる,たか-める
黄|yellow|コウ,オウ,き,（こ）
合|fit|ゴウ,ガッ,（カッ）,あ-う,あ-わす,あ-わせる
谷|valley|コク,たに
国|country|コク,くに
黒|black|コク,くろ,くろ-い
今|now|コン,キン,いま
才|genius|サイ
細|thin|サイ,ほそ-い,ほそ-る,こま-か,こま-かい
作|make|サク,サ,つく-る
算|calculate|サン
止|stop|シ,と-まる,と-める
市|market|シ,いち
矢|arrow|シ,や
姉|older sister|シ,あね
思|think|シ,おも-う
紙|paper|シ,かみ
寺|Buddhist temple|ジ,てら
自|oneself|ジ,シ,みずか-ら
時|time|ジ,とき
室|room|シツ,むろ
社|company|シャ,やしろ
弱|weak|ジャク,よわ-い,よわ-る,よわ-まる,よわ-める
首|neck|シュ,くび
秋|autumn|シュウ,あき
週|week|シュウ
春|springtime|シュン,はる
書|write|ショ,か-く
少|few|ショウ,すく-ない,すこ-し
場|place|ジョウ,ば
色|color|ショク,シキ,いろ
食|eat,meal|ショク,（ジキ）,く-う,く-らう,た-べる
心|heart|シン,こころ
新|new|シン,あたら-しい,あら-た,にい
親|parent|シン,おや,した-しい,した-しむ
図|diagram|ズ,ト,はか-る
数|number|スウ,（ス）,かず,かぞ-える
西|west|セイ,サイ,にし
声|voice|セイ,（ショウ）,こえ,（こわ）
星|star|セイ,（ショウ）,ほし
晴|clear up|セイ,は-れる,は-らす
切|cut|セツ,（サイ）,き-る,き-れる
雪|snow|セツ,ゆき
船|boat|セン,ふね,（ふな）
線|line|セン
前|in front|ゼン,まえ
組|association|ソ,く-む,くみ
走|run|ソウ,はし-る
多|many|タ,おお-い
太|thick|タイ,タ,ふと-い,ふと-る
体|body|タイ,テイ,からだ
台|pedestal|ダイ,タイ
地|ground|チ,ジ
池|pond|チ,いけ
知|know|チ,し-る
茶|tea|チャ,サ
昼|daytime|チュウ,ひる
長|long|チョウ,なが-い
鳥|bird|チョウ,とり
朝|morning|チョウ,あさ
直|straight|チョク,ジキ,ただ-ちに,なお-す,なお-る
通|pass through|ツウ,（ツ）,とお-る,とお-す,かよ-う
弟|younger brother|テイ,（ダイ）,（デ）,おとうと
店|shop|テン,みせ
点|point|テン
電|electricity|デン
刀|sword|トウ,かたな
冬|winter|トウ,ふゆ
当|hit|トウ,あ-たる,あ-てる
東|east|トウ,ひがし
