愛|love|アイ
案|plan|アン
以|by means of|イ
衣|clothes|イ,ころも
位|rank|イ,くらい
茨 [5]|thorn|（いばら）[6
印|mark|イン,しるし
英|England|エイ
栄|prosperity|エイ,さか-える,は-え,は-える
媛|princess; beautiful woman|エン
塩|salt|エン,しお
岡|hill|（おか）[6
億|hundred million|オク
加|add|カ,くわ-える,くわ-わる
果|fruit|カ,は-たす,は-てる,は-て
貨|freight|カ
課|section|カ
芽|bud|ガ,め
賀|congratulations|ガ
改|reformation|カイ,あらた-める,あらた-まる
械|contraption|カイ
害|harm|ガイ
街|street|ガイ,（カイ）,まち
各|each|カク,おのおの
覚|memorize|カク,おぼ-える,さ-ます,さ-める
潟|lagoon|かた
完|perfect|カン
官|government official|カン
管|pipe|カン,くだ
関|related|カン,せき,かか-わる
観|observe|カン
願|request|ガン,ねが-う
岐|branch off|キ
希|hope|キ
季|seasons|キ
旗|national flag|キ,はた
器|container|キ,うつわ
機|machine|キ,はた
議|deliberation|ギ
求|request|キュウ,もと-める
泣|cry|キュウ,な-く
給|salary|キュウ
挙|raise|キョ,あ-げる,あ-がる
漁|fishing|ギョ,リョウ
共|together|キョウ,とも
協|cooperation|キョウ
鏡|mirror|キョウ,かがみ
競|compete|キョウ,ケイ,きそ-う,せ-る
極|poles|キョク,ゴク,きわ-める,きわ-まる,きわ-み
熊|bear|くま
訓|instruction|クン
軍|army|グン
郡|county|グン
群|flock|グン,む-れる,む-れ,（むら）
径|diameter|ケイ
景|scenery|ケイ
芸|art|ゲイ
欠|lack|ケツ,か-ける,か-く
結|tie|ケツ,むす-ぶ,ゆ-う,ゆ-わえる
建|build|ケン,（コン）,た-てる,た-つ
健|healthy|ケン,すこ-やか
験|test|ケン,（ゲン）
固|hard|コ,かた-める,かた-まる,かた-い
功|achievement|コウ,（ク）
好|like|コウ,この-む,す-く
香|incense|コウ,（キョウ）,か,かお-り,かお-る
候|climate|コウ,そうろう
康|health|コウ
佐|help|サ
差|distinction|サ,さ-す
菜|vegetable|サイ,な
最|most|サイ,もっと-も
埼|cape (geography)|（さい）[6
材|lumber|ザイ
