胃|stomach|イ
異|uncommon|イ,こと
遺|bequeath|イ,（ユイ）
域|range|イキ
宇|eaves|ウ
映|reflect|エイ,うつ-る,うつ-す,は-える
延|prolong|エン,の-びる,の-べる,の-ばす
沿|run alongside|エン,そ-う
恩|grace|オン
我|ego,I,we|ガ,われ,わ
灰|ashes|カイ,はい
拡|broaden|カク
革|leather|カク,かわ
閣|tall|カク
割|divide|カツ,わ-る,わり,わ-れる,さ-く
株|stocks|かぶ
干|dry|カン,ほ-す,ひ-る
巻|scroll|カン,ま-く,まき
看|watch over|カン
簡|simplicity|カン
危|dangerous|キ,あぶ-ない,あや-うい,あや-ぶむ
机|desk|キ,つくえ
揮|brandish|キ
貴|precious|キ,たっと-い,とうと-い,たっと-ぶ,とうと-ぶ
疑|doubt|ギ,うたが-う
吸|suck|キュウ,す-う
供|offer|キョウ,（ク）,そな-える,とも
胸|bosom|キョウ,むね,（むな）
郷|home town|キョウ,ゴウ
勤|diligence|キン,（ゴン）,つと-める,つと-まる
筋|muscle|キン,すじ
系|lineage|ケイ
敬|respect|ケイ,うやま-う
警|guard against|ケイ
劇|drama|ゲキ
激|violent|ゲキ,はげ-しい
穴|hole|ケツ,あな
券|ticket|ケン
絹|silk|ケン,きぬ
権|rights|ケン,（ゴン）
憲|constitution|ケン
源|origin|ゲン,みなもと
厳|strict|ゲン,（ゴン）,おごそ-か,きび-しい
己|self|コ,キ,おのれ
呼|call|コ,よ-ぶ
誤|mistake|ゴ,あやま-る
后|empress|コウ
孝|filial piety|コウ
皇|emperor|コウ,オウ
紅|deep red|コウ,（ク）,べに,くれない
降|descend|コウ,お-りる,お-ろす,ふ-る
鋼|steel|コウ,はがね
刻|engrave|コク,きざ-む
穀|cereals|コク
骨|bone|コツ,ほね
困|become distressed|コン,こま-る
砂|sand|サ,シャ,すな
座|sit|ザ,すわ-る
済|settle|サイ,す-む,す-ます
裁|judge|サイ,た-つ,さば-く
策|scheme|サク
冊|counter for books|サツ,サク
蚕|silkworm|サン,かいこ
至|climax|シ,いた-る
私|me|シ,わたくし,わたし
姿|figure|シ,すがた
視|look at|シ
詞|poetry|シ
誌|document|シ
磁|magnet|ジ
射|shoot|シャ,い-る
捨|throw away|シャ,す-てる
尺|shaku|シャク
若|young|ジャク,（ニャク）,わか-い,も-しくは
樹|trees|ジュ
収|take in|シュウ,おさ-める,おさ-まる
宗|religion|シュウ,ソウ
就|concerning|シュウ,（ジュ）,つ-く,つ-ける
衆|masses|シュウ,（シュ）
従|obey|ジュウ,（ショウ）,（ジュ）,したが-う,したが-える
縦|vertical|ジュウ,たて
縮|shrink|シュク,ちぢ-む,ちぢ-まる,ちぢ-める,ちぢ-れる,ちぢ-らす
熟|ripen|ジュク,う-れる
純|genuine|ジュン
処|dispose|ショ
署|government office|ショ
諸|various|ショ
除|exclude|ジョ,（ジ）,のぞ-く
承|acquiesce|ショウ,うけたまわ-る
将|leader|ショウ
傷|wound|ショウ,きず,いた-む,いた-める
障|hurt|ショウ,さわ-る
